date,dietary_kcal,dietary_fat_g,dietary_carb_g,dietary_protein_g,dietary_water
2024-02-04,0.0,0.0,0.0,0.0,0.0
2024-02-05,1068.9200000000003,31.4,130.8,67.5,0.0
2024-02-06,1000.6200000000001,25.5,156.8,45.0,0.0
2024-02-07,0.0,0.0,0.0,0.0,0.0
2024-02-09,0.0,0.0,0.0,0.0,0.0
2024-02-16,0.0,0.0,0.0,0.0,0.0
2024-02-19,0.0,0.0,0.0,0.0,0.0
2024-02-20,0.0,0.0,0.0,0.0,0.0
2024-02-21,0.0,0.0,0.0,0.0,0.0
2024-02-22,0.0,0.0,0.0,0.0,0.0
2024-02-23,0.0,0.0,0.0,0.0,0.0
2024-02-24,1470.0300000000002,84.5,69.1,109.6,0.0
2024-02-25,1323.02,49.7,152.2,72.2,0.0
2024-02-26,1740.0099999999998,83.6,183.4,67.9,2773.0
2024-02-27,1942.6700000000003,78.9,240.5,112.8,400.0
2024-02-28,2221.96,118.5,210.9,92.7,0.0
2024-02-29,797.11,18.9,138.2,25.3,0.0
2024-03-01,792.67,11.8,157.0,18.8,0.0
2024-03-02,0.0,0.0,0.0,0.0,0.0
2024-03-03,0.0,0.0,0.0,0.0,0.0
2024-03-04,0.0,0.0,0.0,0.0,0.0
2024-03-05,1806.0199999999998,96.0,134.7,103.4,0.0
2024-03-06,1544.0,47.5,201.0,84.2,0.0
2024-03-07,2001.57,87.6,226.2,82.4,0.0
2024-03-08,291.65999999999997,8.3,94.3,16.6,0.0
2024-03-09,1366.49,32.5,129.2,66.0,0.0
2024-03-10,485.62,7.1,93.5,13.3,0.0
2024-03-12,1391.7899999999997,41.0,197.5,59.9,0.0
2024-03-14,915.53,30.1,115.1,48.7,0.0
2024-03-15,1460.8199999999997,37.8,215.9,69.9,0.0
2024-03-18,0.0,0.0,0.0,0.0,0.0
2024-03-19,759.16,144.6,209.5,295.3,0.0
2024-03-20,773.5100000000001,38.6,248.3,55.1,0.0
2024-03-21,1303.6799999999998,55.2,254.1,91.1,0.0
2024-04-10,0.0,34.4,66.8,50.2,0.0
2025-02-21,0.0,0.0,0.0,0.0,0.0
2025-02-22,0.0,0.0,0.0,0.0,0.0
2025-02-23,0.0,0.0,0.0,0.0,0.0
2025-02-24,0.0,0.0,0.0,0.0,0.0
2025-02-25,0.0,0.0,0.0,0.0,0.0
2025-02-26,991.3,41.8,87.1,69.1,0.0
2025-02-27,0.0,0.0,0.0,0.0,0.0
2025-02-28,0.0,0.0,0.0,0.0,0.0
2025-03-01,0.0,0.0,0.0,0.0,0.0
2025-03-02,0.0,0.0,0.0,0.0,0.0
2025-03-18,0.0,0.0,0.0,0.0,0.0
2025-03-19,1020.9399999999999,39.2,149.1,44.1,0.0
2025-03-20,1112.92,39.2,149.1,44.1,0.0
2025-03-21,431.6,14.6,54.5,23.5,0.0
2025-03-23,1112.81,41.9,104.5,79.7,0.0
2025-03-24,559.76,25.2,55.5,33.1,0.0
2025-03-25,505.54,34.7,179.9,77.5,0.0
2025-03-27,529.1,13.1,70.2,34.5,0.0
2025-03-31,727.49,19.3,78.6,62.0,0.0
2025-06-18,1182.8,27.0,148.7,90.2,0.0
2025-06-19,0.0,39.3,148.0,104.3,0.0
2025-12-22,1069.05,132.3,249.2,123.6,0.0
2025-12-23,381.52,11.1,144.8,46.0,0.0
2025-12-24,1351.92,50.9,161.5,88.0,0.0
